#Class	OvrStry	Rarc	Rmin	JAN-LAI	FEB-LAI	MAR-LAI	APR-LAI	MAY-LAI	JUN-LAI	JUL-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB_ALB	MAR-ALB	APR-ALB	MAY-ALB	JUN-ALB	JUL-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APR-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APR-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	WIND_H	RGL	SolAtn	WndAtn	Trunk	COMMENT
1	1	50	120	3.4	3.4	3.5	3.7	4	4.4	4.4	4.3	4.2	3.7	3.5	3.4	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	50	30	0.5	0.5	0.2	Evergreen Needleleaf
2	1	25	80	3.4	3.4	3.5	3.7	4	4.4	4.4	4.3	4.2	3.7	3.5	3.4	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	1.476	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	8.04	50	30	0.5	0.5	0.2	Evergreen Broadleaf
3	1	40	120	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	50	30	0.5	0.5	0.2	Deciduous Needleleaf
4	1	40	80	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	50	30	0.5	0.5	0.2	Deciduous Broadleaf
5	1	40	100	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	50	50	0.5	0.5	0.2	Mixed Cover
6	1	25	110	1.68	1.52	1.68	2.9	4.9	5	5	4.6	3.44	3.04	2.16	2	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	1.23	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	50	50	0.5	0.5	0.2	Woodland
7	0	3	110	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1	1	1	1	1	1	1	1	1	1	1	1	5	75	0.5	0.5	0.2	Wooded Grasslands
8	0	3	110	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1	1	1	1	1	1	1	1	1	1	1	1	5	75	0.5	0.5	0.2	Closed Shrublands
9	0	2.5	110	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	0.495	1	1	1	1	1	1	1	1	1	1	1	1	5	75	0.5	0.5	0.2	Open Shrublands
10	0	2	80	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	3	100	0.5	0.5	0.2	Grasslands
